Item,link,qty,extended price,notes
C male A female board,N/A,20,5.1,
A male A male board,N/A,5,4.2,
C female C female board,N/A,5,2.1,
A male C female board,N/A,10,5.2,
C female micro male board,N/A,10,5.5,
USB A male,https://www.lcsc.com/product-detail/C404965.html?s_z=n_q_C404965&globalKeyword=C404965,15,1.33,
USB A female,https://www.lcsc.com/product-detail/C456018.html?s_z=n_q_C456018&globalKeyword=C456018,20,0.97,
USB C male,https://www.lcsc.com/product-detail/C22355747.html?s_z=n_q_C22355747&globalKeyword=C22355747,20,5.85,
USB C female,https://www.lcsc.com/product-detail/C22384780.html?s_z=n_q_C22384780&globalKeyword=C22384780,30,8.53,
micro male,https://www.lcsc.com/product-detail/C7407276.html?s_z=n_q_C7407276&globalKeyword=C7407276,10,11.75,
lcsc + jlc shipping,N/A,1,0,shipping free bc imma order it with other stuff
total,N/A,1,50.53,
